id,idade,horas_uso_diario,tempo_redes_sociais,horas_sono,uso_madrugada,modelo_dispositivo,nivel_uso,qualidade_sono
388,44,6.6,3.2,7.2,0,Motorola Edge 40,intenso,bom
389,61,8.2,1.5,5.7,1,Samsung Galaxy S24,intenso,ruim
390,48,4.9,2.8,6.4,0,Google Pixel 8,moderado,bom
391,59,9.4,,6.4,0,Samsung Galaxy S24,intenso,bom
392,19,6.8,4.1,6.5,1,Xiaomi Redmi Note 12,intenso,ruim
393,29,6.1,4.0,6.5,1,Samsung Galaxy A54,intenso,bom
394,48,9.2,2.2,8.1,0,Motorola Edge 40,intenso,bom
395,150,2.4,0.5,8.2,0,Motorola Edge 40,leve,bom
396,64,9.0,1.5,6.4,0,Samsung Galaxy S24,intenso,ruim
397,63,4.1,1.5,7.0,0,Samsung Galaxy S24,moderado,bom
398,18,1.3,0.1,7.6,0,,leve,bom
399,51,5.4,1.4,5.8,1,iPhone 14,moderado,ruim
400,38,3.6,1.0,5.7,0,iPhone 15 Pro,moderado,bom
401,23,7.8,5.7,7.4,0,Motorola Edge 40,intenso,bom
402,40,15.7,4.9,4.3,1,Realme 11 Pro,muito_intenso,ruim
403,44,3.9,2.1,7.8,0,,moderado,bom
404,16,6.8,3.5,5.8,1,Google Pixel 8,intenso,ruim
405,57,6.3,3.5,6.7,1,Xiaomi Redmi Note 12,intenso,ruim
406,51,2.6,1.9,7.3,0,Google Pixel 8,leve,bom
407,59,0.5,0.3,7.6,1,Realme 11 Pro,leve,bom
408,22,5.1,2.5,7.7,0,Samsung Galaxy S24,moderado,bom
409,50,5.2,3.3,7.0,0,Motorola Edge 40,moderado,bom
410,16,8.2,0.9,6.0,1,Motorola Edge 40,intenso,ruim
411,29,4.9,2.1,5.9,1,iPhone 15 Pro,moderado,ruim
412,64,16.0,6.0,5.5,1,OnePlus 11,muito_intenso,ruim
413,37,5.0,1.0,6.6,0,Xiaomi Redmi Note 12,moderado,bom
414,60,8.3,2.5,6.2,1,Google Pixel 8,intenso,ruim
415,33,6.5,3.8,6.8,0,Realme 11 Pro,intenso,bom
416,22,2.0,1.4,7.3,0,iPhone 14,leve,bom
417,62,0.5,0.3,6.3,1,Realme 11 Pro,leve,bom
418,32,6.0,2.3,7.2,0,Xiaomi Redmi Note 12,moderado,bom
419,24,4.5,1.5,7.7,0,ASUS Zenfone 10,moderado,bom
420,59,1.8,0.7,9.0,0,OnePlus 11,leve,bom
421,38,2.4,0.5,6.5,0,Google Pixel 8,leve,bom
422,46,15.3,0.6,3.7,1,ASUS Zenfone 10,muito_intenso,ruim
423,50,7.5,2.3,7.2,0,Samsung Galaxy A54,intenso,bom
424,49,5.5,1.6,7.8,0,Samsung Galaxy A54,moderado,bom
425,20,3.8,0.5,5.9,1,Motorola Edge 40,moderado,ruim
426,62,2.2,0.9,7.4,0,Samsung Galaxy S24,leve,bom
427,52,6.5,2.7,7.2,0,Google Pixel 8,intenso,bom
428,54,13.8,9.7,4.5,1,OnePlus 11,muito_intenso,ruim
429,46,2.6,1.3,7.8,0,Xiaomi Redmi Note 12,leve,bom
430,26,7.4,2.7,6.7,0,Realme 11 Pro,intenso,bom
431,59,3.4,0.4,8.1,0,Realme 11 Pro,moderado,bom
432,64,1.7,0.3,8.3,0,Google Pixel 8,leve,bom
433,49,5.6,3.2,7.7,0,ASUS Zenfone 10,moderado,bom
434,22,3.8,2.4,6.7,0,iPhone 15 Pro,moderado,bom
435,61,6.0,2.6,6.5,1,iPhone 14,intenso,ruim
436,25,4.8,1.1,6.3,0,Google Pixel 8,moderado,bom
437,64,4.7,2.1,6.8,1,Google Pixel 8,moderado,ruim
438,63,2.7,0.3,7.8,0,Realme 11 Pro,leve,bom
439,41,9.2,4.6,5.8,0,Samsung Galaxy S24,intenso,ruim
440,46,12.6,0.7,5.7,1,Realme 11 Pro,muito_intenso,ruim
441,34,8.4,6.4,6.4,0,Realme 11 Pro,intenso,bom
442,34,2.5,1.1,7.4,0,iPhone 15 Pro,leve,bom
443,26,1.2,0.4,7.8,0,iPhone 14,leve,bom
444,21,5.2,2.4,7.3,0,Samsung Galaxy A54,moderado,bom
445,45,13.4,2.9,0,1,Xiaomi Redmi Note 12,muito_intenso,ruim
446,50,8.3,,6.8,0,OnePlus 11,intenso,bom
447,59,4.8,0.2,5.5,1,Motorola Edge 40,moderado,ruim
448,42,13.1,0.2,5.4,0,iPhone 14,muito_intenso,ruim
449,51,12.9,3.7,6.6,0,Samsung Galaxy A54,muito_intenso,bom
450,47,6.9,1.4,4.7,1,iPhone 14,intenso,ruim
451,21,8.7,4.3,7.1,0,ASUS Zenfone 10,intenso,bom
452,36,6.0,4.3,7.9,0,Xiaomi Redmi Note 12,moderado,bom
453,41,4.7,0.3,6.8,0,Google Pixel 8,moderado,bom
454,59,7.8,0.8,6.1,1,iPhone 14,intenso,ruim
455,36,5.6,0.9,7.5,0,Samsung Galaxy S24,moderado,bom
456,47,4.3,2.6,6.8,0,ASUS Zenfone 10,moderado,bom
457,59,3.3,0.8,7.2,1,Samsung Galaxy S24,moderado,ruim
458,46,6.7,2.7,6.3,0,OnePlus 11,intenso,bom
459,35,5.6,0.3,6.2,1,Motorola Edge 40,moderado,ruim
460,32,4.7,3.5,7.7,0,Samsung Galaxy A54,moderado,bom
461,52,8.6,1.3,6.4,0,OnePlus 11,intenso,bom
462,21,3.9,2.0,5.4,1,iPhone 14,moderado,ruim
463,21,1.1,0.3,7.6,0,OnePlus 11,leve,bom
464,65,12.2,5.8,6.1,0,Samsung Galaxy A54,muito_intenso,ruim
465,58,5.2,3.1,7.0,1,iPhone 15 Pro,moderado,ruim
466,17,8.1,6.5,6.5,1,Samsung Galaxy A54,intenso,ruim
467,31,7.8,0.9,6.6,1,OnePlus 11,intenso,ruim
468,50,13.3,1.5,5.6,0,ASUS Zenfone 10,muito_intenso,ruim
469,43,4.9,1.3,7.4,0,Motorola Edge 40,moderado,bom
470,42,3.9,0.1,7.1,0,iPhone 15 Pro,moderado,bom
471,60,15.7,6.0,4.8,1,Motorola Edge 40,muito_intenso,ruim
472,28,4.7,1.5,6.2,1,Google Pixel 8,moderado,ruim
473,56,5.3,3.9,7.0,0,Xiaomi Redmi Note 12,moderado,bom
474,42,0.7,0.2,25,0,OnePlus 11,leve,bom
475,28,22,2.7,7.0,1,iPhone 14,moderado,bom
476,25,,0.4,7.4,0,iPhone 15 Pro,leve,bom
477,37,2.4,0.4,7.4,0,Xiaomi Redmi Note 12,leve,bom
478,40,6.5,4.0,6.0,1,OnePlus 11,intenso,ruim
479,63,8.1,6.4,5.7,1,iPhone 15 Pro,intenso,ruim
480,63,13.1,2.7,4.1,1,Google Pixel 8,muito_intenso,ruim
481,36,2.5,1.2,6.6,0,ASUS Zenfone 10,leve,bom
482,25,3.3,0.5,6.6,1,iPhone 15 Pro,moderado,ruim
483,38,8.8,5.6,4.7,1,OnePlus 11,intenso,ruim
484,62,2.2,0.7,7.9,0,OnePlus 11,leve,bom
485,28,8.2,2.2,6.6,1,OnePlus 11,intenso,ruim
486,34,8.2,3.0,6.6,0,ASUS Zenfone 10,intenso,bom
487,39,7.0,4.1,6.5,0,OnePlus 11,intenso,bom
488,65,8.5,2.3,7.0,0,Samsung Galaxy S24,intenso,ruim
489,27,11.2,4.4,4.6,1,ASUS Zenfone 10,muito_intenso,ruim
490,32,1.1,0.7,7.7,1,iPhone 15 Pro,leve,bom
491,39,9.8,3.3,5.1,1,iPhone 14,intenso,ruim
492,35,1.0,0.5,7.7,0,ASUS Zenfone 10,leve,bom
493,56,13.4,6.0,4.5,1,Google Pixel 8,muito_intenso,ruim
494,22,1.0,0.4,7.0,0,Motorola Edge 40,leve,bom
495,51,11.9,3.6,4.5,1,Samsung Galaxy A54,muito_intenso,ruim
496,40,9.7,2.0,6.0,0,Xiaomi Redmi Note 12,intenso,ruim
497,54,0.8,0.6,7.7,1,Xiaomi Redmi Note 12,leve,bom
498,51,4.7,2.2,6.5,1,,moderado,ruim
499,30,3.9,1.8,7.0,0,OnePlus 11,moderado,bom
500,60,9.3,0.8,5.6,0,Motorola Edge 40,intenso,ruim
